,subtaskname,minx,maxy,maxx,miny
0,L8-OLI-123-032-20180408-LSR0_0,357885.0,4582515.0,373245.0,4567155.0
1,L8-OLI-123-032-20180408-LSR0_1,372495.0,4582515.0,387855.0,4567155.0
2,L8-OLI-123-032-20180408-LSR0_2,387105.0,4582515.0,402465.0,4567155.0
3,L8-OLI-123-032-20180408-LSR0_3,401715.0,4582515.0,417075.0,4567155.0
4,L8-OLI-123-032-20180408-LSR0_4,416325.0,4582515.0,431685.0,4567155.0
5,L8-OLI-123-032-20180408-LSR0_5,430935.0,4582515.0,446295.0,4567155.0
6,L8-OLI-123-032-20180408-LSR0_6,445545.0,4582515.0,460905.0,4567155.0
7,L8-OLI-123-032-20180408-LSR0_7,460155.0,4582515.0,475515.0,4567155.0
8,L8-OLI-123-032-20180408-LSR0_8,474765.0,4582515.0,490125.0,4567155.0
9,L8-OLI-123-032-20180408-LSR0_9,489375.0,4582515.0,504735.0,4567155.0
10,L8-OLI-123-032-20180408-LSR0_10,503985.0,4582515.0,519345.0,4567155.0
11,L8-OLI-123-032-20180408-LSR0_11,518595.0,4582515.0,533955.0,4567155.0
12,L8-OLI-123-032-20180408-LSR0_12,533205.0,4582515.0,548565.0,4567155.0
13,L8-OLI-123-032-20180408-LSR0_13,547815.0,4582515.0,563175.0,4567155.0
14,L8-OLI-123-032-20180408-LSR0_14,562425.0,4582515.0,577785.0,4567155.0
15,L8-OLI-123-032-20180408-LSR1_0,357885.0,4567905.0,373245.0,4552545.0
16,L8-OLI-123-032-20180408-LSR1_1,372495.0,4567905.0,387855.0,4552545.0
17,L8-OLI-123-032-20180408-LSR1_2,387105.0,4567905.0,402465.0,4552545.0
18,L8-OLI-123-032-20180408-LSR1_3,401715.0,4567905.0,417075.0,4552545.0
19,L8-OLI-123-032-20180408-LSR1_4,416325.0,4567905.0,431685.0,4552545.0
20,L8-OLI-123-032-20180408-LSR1_5,430935.0,4567905.0,446295.0,4552545.0
21,L8-OLI-123-032-20180408-LSR1_6,445545.0,4567905.0,460905.0,4552545.0
22,L8-OLI-123-032-20180408-LSR1_7,460155.0,4567905.0,475515.0,4552545.0
23,L8-OLI-123-032-20180408-LSR1_8,474765.0,4567905.0,490125.0,4552545.0
24,L8-OLI-123-032-20180408-LSR1_9,489375.0,4567905.0,504735.0,4552545.0
25,L8-OLI-123-032-20180408-LSR1_10,503985.0,4567905.0,519345.0,4552545.0
26,L8-OLI-123-032-20180408-LSR1_11,518595.0,4567905.0,533955.0,4552545.0
27,L8-OLI-123-032-20180408-LSR1_12,533205.0,4567905.0,548565.0,4552545.0
28,L8-OLI-123-032-20180408-LSR1_13,547815.0,4567905.0,563175.0,4552545.0
29,L8-OLI-123-032-20180408-LSR1_14,562425.0,4567905.0,577785.0,4552545.0
30,L8-OLI-123-032-20180408-LSR2_0,357885.0,4553295.0,373245.0,4537935.0
31,L8-OLI-123-032-20180408-LSR2_1,372495.0,4553295.0,387855.0,4537935.0
32,L8-OLI-123-032-20180408-LSR2_2,387105.0,4553295.0,402465.0,4537935.0
33,L8-OLI-123-032-20180408-LSR2_3,401715.0,4553295.0,417075.0,4537935.0
34,L8-OLI-123-032-20180408-LSR2_4,416325.0,4553295.0,431685.0,4537935.0
35,L8-OLI-123-032-20180408-LSR2_5,430935.0,4553295.0,446295.0,4537935.0
36,L8-OLI-123-032-20180408-LSR2_6,445545.0,4553295.0,460905.0,4537935.0
37,L8-OLI-123-032-20180408-LSR2_7,460155.0,4553295.0,475515.0,4537935.0
38,L8-OLI-123-032-20180408-LSR2_8,474765.0,4553295.0,490125.0,4537935.0
39,L8-OLI-123-032-20180408-LSR2_9,489375.0,4553295.0,504735.0,4537935.0
40,L8-OLI-123-032-20180408-LSR2_10,503985.0,4553295.0,519345.0,4537935.0
41,L8-OLI-123-032-20180408-LSR2_11,518595.0,4553295.0,533955.0,4537935.0
42,L8-OLI-123-032-20180408-LSR2_12,533205.0,4553295.0,548565.0,4537935.0
43,L8-OLI-123-032-20180408-LSR2_13,547815.0,4553295.0,563175.0,4537935.0
44,L8-OLI-123-032-20180408-LSR2_14,562425.0,4553295.0,577785.0,4537935.0
45,L8-OLI-123-032-20180408-LSR3_0,357885.0,4538685.0,373245.0,4523325.0
46,L8-OLI-123-032-20180408-LSR3_1,372495.0,4538685.0,387855.0,4523325.0
47,L8-OLI-123-032-20180408-LSR3_2,387105.0,4538685.0,402465.0,4523325.0
48,L8-OLI-123-032-20180408-LSR3_3,401715.0,4538685.0,417075.0,4523325.0
49,L8-OLI-123-032-20180408-LSR3_4,416325.0,4538685.0,431685.0,4523325.0
50,L8-OLI-123-032-20180408-LSR3_5,430935.0,4538685.0,446295.0,4523325.0
51,L8-OLI-123-032-20180408-LSR3_6,445545.0,4538685.0,460905.0,4523325.0
52,L8-OLI-123-032-20180408-LSR3_7,460155.0,4538685.0,475515.0,4523325.0
53,L8-OLI-123-032-20180408-LSR3_8,474765.0,4538685.0,490125.0,4523325.0
54,L8-OLI-123-032-20180408-LSR3_9,489375.0,4538685.0,504735.0,4523325.0
55,L8-OLI-123-032-20180408-LSR3_10,503985.0,4538685.0,519345.0,4523325.0
56,L8-OLI-123-032-20180408-LSR3_11,518595.0,4538685.0,533955.0,4523325.0
57,L8-OLI-123-032-20180408-LSR3_12,533205.0,4538685.0,548565.0,4523325.0
58,L8-OLI-123-032-20180408-LSR3_13,547815.0,4538685.0,563175.0,4523325.0
59,L8-OLI-123-032-20180408-LSR3_14,562425.0,4538685.0,577785.0,4523325.0
60,L8-OLI-123-032-20180408-LSR4_0,357885.0,4524075.0,373245.0,4508715.0
61,L8-OLI-123-032-20180408-LSR4_1,372495.0,4524075.0,387855.0,4508715.0
62,L8-OLI-123-032-20180408-LSR4_2,387105.0,4524075.0,402465.0,4508715.0
63,L8-OLI-123-032-20180408-LSR4_3,401715.0,4524075.0,417075.0,4508715.0
64,L8-OLI-123-032-20180408-LSR4_4,416325.0,4524075.0,431685.0,4508715.0
65,L8-OLI-123-032-20180408-LSR4_5,430935.0,4524075.0,446295.0,4508715.0
66,L8-OLI-123-032-20180408-LSR4_6,445545.0,4524075.0,460905.0,4508715.0
67,L8-OLI-123-032-20180408-LSR4_7,460155.0,4524075.0,475515.0,4508715.0
68,L8-OLI-123-032-20180408-LSR4_8,474765.0,4524075.0,490125.0,4508715.0
69,L8-OLI-123-032-20180408-LSR4_9,489375.0,4524075.0,504735.0,4508715.0
70,L8-OLI-123-032-20180408-LSR4_10,503985.0,4524075.0,519345.0,4508715.0
71,L8-OLI-123-032-20180408-LSR4_11,518595.0,4524075.0,533955.0,4508715.0
72,L8-OLI-123-032-20180408-LSR4_12,533205.0,4524075.0,548565.0,4508715.0
73,L8-OLI-123-032-20180408-LSR4_13,547815.0,4524075.0,563175.0,4508715.0
